what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1228773211296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228773211515
started,bundle,org.eclipse.jst.jsf.common,1.1.3.v20080915,org.eclipse.jst.jsf.common,1228773211578
started,bundle,org.eclipse.jst.jsf.core,1.1.102.v20080909,org.eclipse.jst.jsf.core,1228773211593
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1228773212328
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1228773214015
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1228773214015
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1228773214250
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1228773214625
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1228773216359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1228773259531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1228773262890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1228773286421
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1228773296406
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1228773296437
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1228773296468
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1228773296546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1228773323171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774278171
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1228774278343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774278625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774374859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774379390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774446625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1228774447765
